'Kod','CisloDomovni','CisloOrientacni','CisloOrientacniPismeno','Psc','StavebniObjekt','Ulice','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo','x','y'
'6607519','26',,,'39201','6563244',,,'2013-12-04',,'419283','466526',,,,'-724724.92','-1134515.82'
'6607667','41',,,'39201','6563392',,,'2013-12-04',,'419283','466526',,,,'-724871.54','-1134347'
'6607748','49',,,'39201','6563473',,,'2013-12-04',,'419283','466526',,,,'-724797.53','-1134223.27'
'6607802','55',,,'39201','6563538',,,'2013-12-04',,'419283','466526',,,,'-724930.94','-1134461.26'
'6607993','74',,,'39201','6563724',,,'2013-12-04',,'419283','466526',,,,'-724370.39','-1134691.85'
'6608078','82',,,'39201','6563805',,,'2013-12-04',,'419283','466526',,,,'-724331.42','-1134718.3'
'6608108','85',,,'39201','6563830',,,'2011-07-01',,'0','0',,,,,
'6608124','91',,,'39201','6563856',,,'2013-12-04',,'419283','466526',,,,'-724423.9','-1134813.46'
'6608175','96',,,'39201','6563902',,,'2013-12-04',,'419283','466526',,,,'-724472.46','-1134763.69'
'6608531','1',,,'39127','6564267',,,'2013-12-04',,'419439','466615',,,,'-725106.38','-1140369.5'
'6608540','2',,,'39127','6564275',,,'2013-12-04',,'419439','466615',,,,'-725093.06','-1140284.63'
'6608663','14',,,'39127','6564399',,,'2013-12-04',,'419439','466615',,,,'-725239.56','-1140062.13'
'6608680','16',,,'39127','6564411',,,'2013-12-04',,'419439','466615',,,,'-725265','-1140060'
'6608752','23',,,'39127','6564488',,,'2013-12-04',,'419439','466615',,,,'-725130','-1140055'
'6608779','25',,,'39127','6564500',,,'2013-12-04',,'419439','466615',,,,'-725049.56','-1140087.25'
'6608795','27',,,'39127','6564526',,,'2013-12-04',,'419439','466615',,,,'-725107.5','-1140152.5'
'6608833','31',,,'39127','6564569',,,'2013-12-04',,'419439','466615',,,,'-724739.44','-1139875.5'
'6608949','42',,,'39127','6564674',,,'2013-12-04',,'419439','466615',,,,'-724939','-1140048.63'
'6609104','58',,,'39127','6564836',,,'2013-12-04',,'419439','466615',,,,'-725195','-1139815'
'6609147','62',,,'39127','6564879',,,'2013-12-04',,'419439','466615',,,,'-724775.69','-1139764'
'6609210','69',,,'39127','6564941',,,'2013-12-04',,'419439','466615',,,,'-725224.96','-1140082.2'
'6609236','71',,,'39127','6564968',,,'2013-12-04',,'419439','466615',,,,'-724980.63','-1140195.25'
'6609406','88',,,'39127','6565131',,,'2013-12-04',,'419439','466615',,,,'-725043.06','-1140108.88'
'6609465','94',,,'39127','6565191',,,'2014-02-11',,'511205','522685',,,,'-724840.34','-1139906.69'
'6609538','101',,,'39127','6565263',,,'2013-12-04',,'419439','466615',,,,'-724884.5','-1140133.38'
'6609597','4',,,'39201','6565328',,,'2013-12-04',,'419439','466615',,,,'-725358.31','-1137510.63'
'6609601','5',,,'39201','6565336',,,'2013-12-04',,'419439','466615',,,,'-725350.25','-1137529.13'
'6609635','8',,,'39201','6565361',,,'2013-12-04',,'419439','466615',,,,'-725190','-1137470'
