'Kod','Nazev','Obec','Pou','Nespravny','PlatiOd','PlatiDo','IdTransakce','GlobalniIdNavrhuZmeny','NespravneUdaje','OznacenoDne','OznacenoInfo'
571661,'Javorová',552461,,,2011-07-01,,0,0,,,
571849,'Pod Chmelnicí',552461,,,2011-07-01,,0,0,,,
571873,'Prostřední',552461,,,2011-07-01,,0,0,,,
572314,'Kostelní',552534,,,2011-07-01,,0,0,,,
572322,'Koželužská',552534,,,2011-07-01,,0,0,,,
572349,'Milevská',552534,,,2011-07-01,,0,0,,,
572438,'Žofín',552534,,,2011-07-01,,0,0,,,
572608,'U Hasíka',563986,,,2011-07-01,,0,0,,,
572641,'Františka Metelce',552666,,,2011-07-01,,0,0,,,
572683,'Lužnická',552666,,,2014-05-06,,595972,578638,,,
572918,'Majora Boháče',552704,,,2011-07-01,,0,0,,,
572951,'Morávkovo náměstí',552704,,,2011-07-01,,0,0,,,
573051,'Purkrabská',552704,,,2011-07-01,,0,0,,,
573078,'Ronovská',552704,,,2011-07-01,,0,0,,,
573132,'Trčkova',552704,,,2013-10-29,,380709,448625,,,
573159,'U Brodu',552704,,,2013-11-21,,403325,457988,,,
573311,'Ke Špejcharu',549631,,,2014-05-13,,599849,580176,,,
573591,'U Lihovaru',552828,,,2011-07-01,,0,0,,,
573698,'Zahradní',552828,,,2014-01-14,,463593,489961,,,
573710,'Zhořská',552828,,,2014-01-14,,463593,489961,,,
573744,'Smolín',552828,,,2014-02-25,,535371,542409,,,
573876,'Dr. E. Beneše',553069,,,2014-03-13,,554701,555568,,,
573922,'Husovo náměstí',553069,,,2013-11-15,,396450,453712,,,
574007,'Kaplického',553069,,,2011-07-01,,0,0,,,
574040,'Kollárova',553069,,,2011-07-01,,0,0,,,
574104,'Okružní',553069,,,2013-11-15,,396450,453712,,,
574341,'U Komory',553069,,,2014-02-26,,536880,543680,,,
574422,'Na Mýtě',553069,,,2014-03-13,,554701,555568,,,
574546,'Dolní příkopy',553131,,,2013-10-29,,380714,448629,,,
574619,'Jeronýmova',553131,,,2011-07-01,,0,0,,,
574635,'Jirsíkova',553131,,,2013-10-29,,380714,448629,,,
574694,'Kostelní',553131,,,2011-07-01,,0,0,,,
574945,'Nová',553131,,,2014-01-07,,452713,485653,,,
575119,'U Jatek',553131,,,2011-07-01,,0,0,,,
575127,'U Nádraží',553131,,,2011-07-01,,0,0,,,
575186,'Žižkova',553131,,,2011-07-01,,0,0,,,
575194,'Na Pilátě',553131,,,2013-10-31,,382368,449248,,,
575801,'Družstevníků',552046,,,2011-07-01,,0,0,,,
575852,'Fügnerova',552046,,,2011-07-01,,0,0,,,
575992,'Hromádkova',552046,,,2013-11-04,,384761,449946,,,
576123,'Jiráskova',552046,,,2011-07-01,,0,0,,,
576204,'Komenského',552046,,,2013-11-04,,384761,449946,,,
576221,'Kamenická',552046,,,2011-07-01,,0,0,,,
576328,'Košínská',552046,,,2013-11-04,,384761,449946,,,
576352,'Koželužská',552046,,,2014-05-07,,597036,579168,,,
576387,'Kpt. Nálepky',552046,,,2011-07-01,,0,0,,,
576417,'Krále Jiřího',552046,,,2011-07-01,,0,0,,,
576450,'Kvapilova',552046,,,2014-05-26,,609050,585036,,,
576590,'Jana Kubiše',552046,,,2011-07-01,,0,0,,,
576603,'Martina Koláře',552046,,,2011-07-01,,0,0,,,
576689,'Mládeže',552046,,,2011-07-01,,0,0,,,
